SK3112000000198742637541	55421987Z	€	22.17
CH9300762011623852957	47530724M	£	65.50
LI21088100002324013AA	97295680E	$	5.64
LC55HEMM000100010012001200023015	65992999L	€	61.24
LB62099900000001001901229114	55835276Q	£	41.10
BH67BMAG00001299123456	32351563Q	£	91.42
BR1800360305000010009795493C1	78197959Y	€	96.63
IL620108000000099999999	74208841P	$	33.03
DK5000400440116243	14520137F	£	79.44
SM86U0322509800000000270100	15731332E	$	98.96
AT611904300234573201	08591790W	€	7.05
IT60X0542811101000000123456	35042182A	$	87.04
GB29NWBK60161331926819	60264262F	€	56.67
AZ21NABZ00000000137010001944	00077389V	$	5.24
BE68539007547034	23629019S	€	51.55
MK07250120000058984	48776119L	€	91.83
ST68000200010192194210112	25942334J	£	27.74
MD24AG000225100013104168	97764560R	$	20.90
SC18SSCB11010000000000001497USD	47607244G	€	14.57
SI56263300012039086	61487798N	£	17.00
MR1300020001010000123456753	59242707C	$	2.07
TN5910006035183598478831	83694400E	€	72.64
AD1200012030200359100100	23115880Y	€	7.74
MT84MALT011000012345MTLCAST001S	48264930M	£	58.02
TN5910006035183598478831	83694400E	€	75.97
BE68539007547034	23629019S	€	1.12
IQ98NBIQ850123456789012	09936320K	£	9.87
CH9300762011623852957	47530724M	£	53.86
PT50000201231234567890154	87245086Z	$	99.33
FI2112345600000785	38910556F	€	30.85
SE4550000000058398257466	37533078E	$	81.11
AE070331234567890123456	60932451T	$	18.93
GL8964710001000206	79323490D	€	8.26
XK051212012345678906	08674012E	$	46.38
SK3112000000198742637541	55421987Z	€	65.16
SA0380000000608010167519	70500969N	£	66.40
IT60X0542811101000000123456	35042182A	$	88.43
GT82TRAJ01020000001210029690	82737665H	€	53.93
BA391290079401028494	53041404T	£	91.72
ES9121000418450200051332	13922031Q	£	33.12
VG96VPVG0000012345678901	84743650N	€	58.75
RO49AAAA1B31007593840000	71571559K	€	55.80
HU42117730161111101800000000	03437693K	£	27.74
JO94CBJO0010000000000131000302	40393979E	£	49.72
MD24AG000225100013104168	97764560R	$	62.33
EE382200221020145685	06042065B	$	37.18
GT82TRAJ01020000001210029690	82737665H	€	87.15
LI21088100002324013AA	97295680E	$	83.96
XK051212012345678906	08674012E	$	57.68
FR1420041010050500013M02606	21949994J	£	34.69
