LC55HEMM000100010012001200023015	65992999L	€	37.59
MD24AG000225100013104168	97764560R	$	55.15
BR1800360305000010009795493C1	78197959Y	€	19.32
AL47212110090000000235698741	77260122V	£	34.28
NO9386011117947	47795066P	£	5.66
UA213996220000026007233566001	05175445P	£	93.28
LT121000011101001000	95723665B	€	13.63
TN5910006035183598478831	83694400E	€	41.76
AE070331234567890123456	60932451T	$	30.06
UA213996220000026007233566001	05175445P	£	5.83
ES9121000418450200051332	13922031Q	£	40.87
LV80BANK0000435195001	49610933W	£	74.47
LV80BANK0000435195001	49610933W	£	73.02
IQ98NBIQ850123456789012	09936320K	£	27.37
LU280019400644750000	46514307G	$	7.39
SC18SSCB11010000000000001497USD	47607244G	€	14.53
DO28BAGR00000001212453611324	94741525V	€	12.12
CZ6508000000192000145399	28830330Z	€	3.96
TN5910006035183598478831	83694400E	€	44.34
CR05015202001026284066	23095386M	€	46.51
LU280019400644750000	46514307G	$	33.63
FR1420041010050500013M02606	21949994J	£	87.80
PK36SCBL0000001123456702	88900404E	€	39.05
SK3112000000198742637541	55421987Z	€	29.96
ME25505000012345678951	20901081S	£	12.10
MR1300020001010000123456753	59242707C	$	61.18
DE89370400440532013000	12906167Q	$	82.78
MU17BOMM0101101030300200000MUR	82392826H	€	88.45
FI2112345600000785	38910556F	€	72.18
GL8964710001000206	79323490D	€	80.84
FI2112345600000785	38910556F	€	90.07
DO28BAGR00000001212453611324	94741525V	€	22.08
SC18SSCB11010000000000001497USD	47607244G	€	66.43
CZ6508000000192000145399	28830330Z	€	24.53
MD24AG000225100013104168	97764560R	$	36.48
SC18SSCB11010000000000001497USD	47607244G	€	94.89
SI56263300012039086	61487798N	£	40.82
GT82TRAJ01020000001210029690	82737665H	€	17.16
GE29NB0000000101904917	97695850S	$	30.68
LT121000011101001000	95723665B	€	64.94
PT50000201231234567890154	87245086Z	$	14.84
BE68539007547034	23629019S	€	35.62
LB62099900000001001901229114	55835276Q	£	62.75
MU17BOMM0101101030300200000MUR	82392826H	€	57.73
HU42117730161111101800000000	03437693K	£	78.53
LT121000011101001000	95723665B	€	81.88
GL8964710001000206	79323490D	€	35.53
NO9386011117947	47795066P	£	50.63
MD24AG000225100013104168	97764560R	$	45.22
NO9386011117947	47795066P	£	24.01
CH9300762011623852957	47530724M	£	43.96
PL61109010140000071219812874	96044731C	$	6.58
XK051212012345678906	08674012E	$	92.69
IS140159260076545510730339	42903896H	€	42.34
