ST68000200010192194210112	25942334J	£	92.52
CZ6508000000192000145399	28830330Z	€	84.38
DE89370400440532013000	12906167Q	$	42.73
MU17BOMM0101101030300200000MUR	82392826H	€	92.84
CZ6508000000192000145399	28830330Z	€	47.41
JO94CBJO0010000000000131000302	40393979E	£	48.69
BH67BMAG00001299123456	32351563Q	£	11.49
CY17002001280000001200527600	22499939M	$	97.55
LC55HEMM000100010012001200023015	65992999L	€	19.23
BH67BMAG00001299123456	32351563Q	£	56.87
LT121000011101001000	95723665B	€	92.88
HR1210010051863000160	72927186M	$	54.96
IT60X0542811101000000123456	35042182A	$	76.80
CR05015202001026284066	23095386M	€	20.34
IQ98NBIQ850123456789012	09936320K	£	34.28
MT84MALT011000012345MTLCAST001S	48264930M	£	9.53
IS140159260076545510730339	42903896H	€	39.70
PS92PALS000000000400123456702	78041934J	€	31.43
MK07250120000058984	48776119L	€	48.79
BY13NBRB3600900000002Z00AB00	00604067H	$	46.34
BY13NBRB3600900000002Z00AB00	00604067H	$	9.47
KW81CBKU0000000000001234560101	64845593Z	€	22.58
AT611904300234573201	08591790W	€	26.81
JO94CBJO0010000000000131000302	40393979E	£	34.05
CY17002001280000001200527600	22499939M	$	2.11
LB62099900000001001901229114	55835276Q	£	7.86
BY13NBRB3600900000002Z00AB00	00604067H	$	86.46
VG96VPVG0000012345678901	84743650N	€	50.43
LT121000011101001000	95723665B	€	69.65
BH67BMAG00001299123456	32351563Q	£	83.22
RS35260005601001611379	03995637P	$	60.11
PS92PALS000000000400123456702	78041934J	€	47.87
BA391290079401028494	53041404T	£	43.55
PK36SCBL0000001123456702	88900404E	€	54.54
GR1601101250000000012300695	06122283M	$	3.17
AE070331234567890123456	60932451T	$	14.48
SE4550000000058398257466	37533078E	$	57.32
IT60X0542811101000000123456	35042182A	$	31.21
BG80BNBG96611020345678	53634933Z	$	34.43
SC18SSCB11010000000000001497USD	47607244G	€	4.16
FI2112345600000785	38910556F	€	27.71
